name,set,series,release_date,rarity,supertype,subtypes,types,hp,artist,market_price_usd
Spewpa,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Grass,70,Kagemaru Himeno,0.14
Tarountula,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,40,Pani Kobayashi,0.17
Dolliv,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Grass,90,Mina Nakai,0.16
Toedscool,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,60,Tika Matsuno,0.1
Gyarados ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Stage 1, Tera, ex",Water,300,5ban Graphics,1.79
Scovillain,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Grass,110,KEIICHIRO ITO,0.2
Bruxish,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,100,kurumitsu,0.11
Wiglett,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,60,Tika Matsuno,0.12
Crocalor,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Fire,100,kantaro,0.11
Wugtrio,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Water,90,KIYOTAKA OSHIYAMA,0.22
Skeledirge,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 2,Fire,180,nagimiso,0.17
Cetoddle,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,100,Kouki Saitou,0.09
Charcadet,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fire,70,nagimiso,0.12
Buizel,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,70,Mizue,0.16
Cetitan,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Water,180,Anesaki Dynamic,0.08
Clauncher,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,70,miki kudo,0.08
Clawitzer,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Water,120,Souichirou Gunjima,0.12
Quaxwell,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Water,100,kirisAki,0.08
Quaquaval,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 2,Water,170,Kouki Saitou,0.23
Wiglett,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,50,Shin Nagasawa,0.17
Capsakid,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,60,Kouki Saitou,0.1
Growlithe,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fire,70,kawayoo,0.26
Capsakid,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Grass,70,GIDORA,0.2
Arcanine ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Stage 1, Tera, ex",Fire,280,5ban Graphics,1.28
Torkoal,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Fire,130,Kurata So,0.23
Fuecoco,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fire,80,Akira Komayama,0.22
Charcadet,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fire,60,Souichirou Gunjima,0.13
Slowbro,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 1,Water,100,Shinji Kanda,0.46
Floatzel,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Water,120,Gemi,0.1
Alomomola,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,120,Shinji Kanda,0.15
Growlithe,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fire,90,Tika Matsuno,0.39
Houndour,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fire,70,nagimiso,0.11
Houndoom,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Fire,120,hncl,0.21
Armarouge,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 1,Fire,130,AKIRA EGAWA,0.21
Slowpoke,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,70,Narumi Sato,0.23
Magikarp,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,30,KIYOTAKA OSHIYAMA,0.17
Quaxly,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,70,Mizue,0.12
Cetoddle,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Water,80,Shin Nagasawa,0.17
Dondozo,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Basic,Water,160,Souichirou Gunjima,0.18
Magnemite,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,60,KIYOTAKA OSHIYAMA,0.05
Magneton,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Lightning,90,Shiburingaru,0.11
Tatsugiri,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Water,70,OKACHEKE,0.13
Rotom,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,60,Nisota Niso,0.22
Mareep,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,60,Narumi Sato,0.23
Pawmot,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 2,Lightning,130,Mizue,0.22
Pawmo,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Lightning,90,Saya Tsuruta,0.18
Miraidon,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Basic,Lightning,120,Kouki Saitou,0.19
Wattrel,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,50,Saya Tsuruta,0.18
Miraidon ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Basic, ex",Lightning,220,5ban Graphics,0.64
Wattrel,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,60,Shin Nagasawa,0.08
Hypno,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Psychic,110,Toshinao Aoki,0.13
Kilowattrel,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Lightning,120,Kouki Saitou,0.11
Gardevoir ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Stage 2, ex",Psychic,310,N-DESIGN Inc.,0.73
Dedenne,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,70,zig,0.11
Drowzee,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,70,OKACHEKE,0.07
Klefki,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Basic,Psychic,70,GOSSAN,0.33
Ralts,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,70,Tika Matsuno,0.07
Fidough,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,50,Mizue,0.21
Kirlia,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Psychic,90,kawayoo,0.2
Fidough,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,60,Saya Tsuruta,0.27
Shuppet,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,60,Jerky,0.14
Flittle,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,40,Tika Matsuno,0.2
Drifloon,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,70,Taira Akitsu,0.12
Drifblim,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Psychic,110,Yuu Nishida,0.2
Flabébé,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,40,Mizue,0.13
Magnezone ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Stage 2, ex",Lightning,330,hncl,0.59
Flaaffy,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Lightning,90,Kurata So,0.34
Toxel,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,70,Yuu Nishida,0.18
Toxtricity,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Lightning,130,Atsushi Furusawa,0.12
Pawmi,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,60,kantaro,0.1
Florges,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 2,Psychic,140,Haru Akasaka,0.11
Flittle,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,30,Hitoshi Ariga,0.21
Pachirisu,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Lightning,70,Naoki Saito,0.14
Rotom,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,80,Kouki Saitou,0.2
Pawmi,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Lightning,50,Tika Matsuno,0.14
Banette ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Stage 1, ex",Psychic,250,PLANETA Mochizuki,0.69
Floette,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Psychic,70,saino misaki,0.1
Dedenne,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,70,Nelnal,0.17
Dachsbun,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Psychic,90,You Iribi,0.23
Flittle,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,40,Pani Kobayashi,0.11
Greavard,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,80,Shin Nagasawa,0.15
Greavard,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Psychic,70,yuu,0.17
Espathra,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Psychic,110,Hitoshi Ariga,0.04
Houndstone,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 1,Psychic,140,Kouki Saitou,0.25
Mankey,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fighting,60,nagimiso,0.14
Primeape,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Fighting,90,Ryuta Fuse,0.1
Annihilape,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 2,Fighting,140,Anesaki Dynamic,0.19
Medicham,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Fighting,90,Jerky,0.1
Meditite,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fighting,60,miki kudo,0.12
Riolu,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fighting,70,chibi,0.16
Riolu,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fighting,70,Naoyo Kimura,0.21
Lucario,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Fighting,130,Nurikabe,0.29
Sandile,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fighting,70,Tomokazu Komiya,0.22
Krookodile,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 2,Fighting,170,Misa Tsutsui,0.17
Hawlucha,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Basic,Fighting,70,GOSSAN,0.3
Krokorok,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Fighting,100,kantaro,0.12
Silicobra,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Fighting,80,Kouki Saitou,0.12
Sandaconda,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Fighting,140,Yuya Oka,0.1
Stonjourner,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Fighting,130,Yuka Morii,0.17
Great Tusk ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Basic, ex",Fighting,250,5ban Graphics,0.52
Klawf,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Basic,Fighting,130,nagimiso,0.13
Koraidon,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Basic,Fighting,130,Kouki Saitou,0.15
Koraidon ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Basic, ex",Fighting,230,aky CG Works,0.54
Grimer,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Darkness,80,Kouki Saitou,0.17
Muk,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Darkness,140,Haru Akasaka,0.12
Seviper,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Darkness,120,sui,0.09
Pawniard,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Darkness,70,sowsow,0.15
Spiritomb,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Darkness,70,Naoyo Kimura,0.07
Croagunk,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Darkness,70,Shiburingaru,0.08
Toxicroak ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Stage 1, ex",Darkness,250,Nisota Niso,0.67
Bisharp,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Darkness,120,Hideki Ishikawa,0.11
Kingambit,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 2,Darkness,170,Anesaki Dynamic,0.22
Maschiff,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Darkness,70,kantaro,0.21
Maschiff,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Darkness,80,KEIICHIRO ITO,0.19
Forretress,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Metal,120,Lee HyunJung,0.23
Mabosstiff,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Darkness,130,KIYOTAKA OSHIYAMA,0.14
Bombirdier,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Darkness,110,nagimiso,0.06
Varoom,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Metal,60,Shin Nagasawa,0.05
Revavroom,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Stage 1,Metal,140,Anesaki Dynamic,0.17
Varoom,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Metal,80,nagimiso,0.12
Iron Treads ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Basic, ex",Metal,220,5ban Graphics,0.52
Chansey,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,110,sui,0.15
Blissey,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Colorless,150,chibi,0.18
Zangoose,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,90,Yuya Oka,0.13
Starly,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,60,Yuka Morii,0.24
Zangoose,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Colorless,110,aoki,0.18
Skwovet,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,60,HYOGONOSUKE,0.25
Staravia,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Stage 1,Colorless,80,kantaro,0.14
Staraptor,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 2,Colorless,150,Atsushi Furusawa,0.2
Indeedee,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Basic,Colorless,90,Kagemaru Himeno,0.18
Greedent,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Colorless,120,kantaro,0.12
Lechonk,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,60,Teeziro,0.1
Oinkologne ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Double Rare,Pokémon,"Stage 1, ex",Colorless,260,aky CG Works,0.62
Oinkologne,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Colorless,120,kirisAki,0.11
Lechonk,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,60,kodama,0.13
Lechonk,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,70,Mina Nakai,0.14
Tandemaus,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,30,Pani Kobayashi,0.41
Tandemaus,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,40,yuu,0.4
Squawkabilly,Scarlet & Violet,Scarlet & Violet,2023/03/31,Common,Pokémon,Basic,Colorless,70,Oswaldo KATO,0.14
Maushold,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Stage 1,Colorless,70,KIYOTAKA OSHIYAMA,0.26
Cyclizar,Scarlet & Violet,Scarlet & Violet,2023/03/31,Rare,Pokémon,Basic,Colorless,110,Ryota Murayama,0.18
Cyclizar,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Colorless,110,AKIRA EGAWA,0.09
Flamigo,Scarlet & Violet,Scarlet & Violet,2023/03/31,Uncommon,Pokémon,Basic,Colorless,110,kantaro,0.19
Dolliv,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Stage 1,Grass,90,Oswaldo KATO,7.32
Tarountula,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Grass,40,Miki Tanaka,17.25
Toedscool,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Grass,50,Akira Komayama,5.78
Armarouge,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Stage 1,Fire,130,nagimiso,17.14
Scovillain,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Stage 1,Grass,110,KIYOTAKA OSHIYAMA,5.55
Wiglett,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Water,50,You Iribi,24.67
Slowpoke,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Water,70,Toshinao Aoki,41.19
Clauncher,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Water,70,Shinya Komatsu,8.18
Pawmot,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Stage 2,Lightning,130,Kouki Saitou,10.82
Pachirisu,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Lightning,70,zig,20.94
Drowzee,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Psychic,70,Tomokazu Komiya,61.73
Dondozo,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Water,160,AKIRA EGAWA,14.6
Greavard,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Psychic,70,sowsow,21.98
Riolu,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Fighting,70,Nelnal,38.54
Ralts,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Psychic,70,Jiro Sasumo,46.53
Kirlia,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Stage 1,Psychic,90,Jiro Sasumo,47.01
Fidough,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Psychic,60,Tika Matsuno,28.0
Klawf,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Fighting,130,Mina Nakai,5.65
Mabosstiff,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Stage 1,Darkness,130,OKACHEKE,8.3
Sandile,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Fighting,70,Nurikabe,6.62
Bombirdier,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Darkness,110,Shibuzoh.,5.84
Kingambit,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Stage 2,Darkness,170,Shin Nagasawa,10.4
Starly,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Colorless,60,saino misaki,13.98
Skwovet,Scarlet & Violet,Scarlet & Violet,2023/03/31,Illustration Rare,Pokémon,Basic,Colorless,60,Teeziro,9.17
Arcanine ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Stage 1, Tera, ex",Fire,280,5ban Graphics,15.23
Magnezone ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Stage 2, ex",Lightning,330,PLANETA Tsuji,1.81
Gyarados ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Stage 1, Tera, ex",Water,300,5ban Graphics,10.54
Spidops ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Stage 1, ex",Grass,260,takuyoa,1.15
Gardevoir ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Stage 2, ex",Psychic,310,N-DESIGN Inc.,5.16
Miraidon ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Basic, ex",Lightning,220,5ban Graphics,3.23
Banette ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Stage 1, ex",Psychic,250,PLANETA Mochizuki,1.95
Koraidon ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Basic, ex",Fighting,230,aky CG Works,2.09
Great Tusk ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Basic, ex",Fighting,250,5ban Graphics,1.06
Iron Treads ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Basic, ex",Metal,220,5ban Graphics,1.14
Toxicroak ex,Scarlet & Violet,Scarlet & Violet,2023/03/31,Ultra Rare,Pokémon,"Stage 1, ex",Darkness,250,PLANETA Hiiragi,1.8
Tadbulb,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Lightning,60,Tika Matsuno,0.14
Jigglypuff,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Psychic,70,Yuu Nishida,0.27
Wigglytuff,Paldea Evolved,Scarlet & Violet,2023/06/09,Rare,Pokémon,Stage 1,Psychic,110,Hitoshi Ariga,0.28
Misdreavus,Paldea Evolved,Scarlet & Violet,2023/06/09,Common,Pokémon,Basic,Psychic,70,Megumi Higuchi,0.14
