set,series,rarity,subtypes,types,hp,artist,market_price_usd,log_market_price,release_year
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Water,90,KIYOTAKA OSHIYAMA,0.22,0.1988508587451652,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 2,Fire,180,nagimiso,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,100,Kouki Saitou,0.09,0.08617769624105233,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fire,70,nagimiso,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,70,Mizue,0.16,0.14842000511827327,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Water,180,Anesaki Dynamic,0.08,0.07696104113612832,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,70,miki kudo,0.08,0.07696104113612832,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Water,120,Souichirou Gunjima,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Water,100,kirisAki,0.08,0.07696104113612832,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 2,Water,170,Kouki Saitou,0.23,0.20701416938432615,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,50,Shin Nagasawa,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,60,Kouki Saitou,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fire,70,kawayoo,0.26,0.23111172096338664,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Grass,70,GIDORA,0.2,0.18232155679395462,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Stage 1, Tera, ex",Fire,280,5ban Graphics,1.28,0.8241754429663495,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Fire,130,Kurata So,0.23,0.20701416938432615,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fire,80,Akira Komayama,0.22,0.1988508587451652,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fire,60,Souichirou Gunjima,0.13,0.12221763272424921,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 1,Water,100,Shinji Kanda,0.46,0.3784364357202451,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Water,120,Gemi,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,120,Shinji Kanda,0.15,0.13976194237515868,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fire,90,Tika Matsuno,0.39,0.3293037471426004,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fire,70,nagimiso,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Fire,120,hncl,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 1,Fire,130,AKIRA EGAWA,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,70,Narumi Sato,0.23,0.20701416938432615,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,30,KIYOTAKA OSHIYAMA,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,70,Mizue,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Water,80,Shin Nagasawa,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Rare,Basic,Water,160,Souichirou Gunjima,0.18,0.16551443847757338,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,60,KIYOTAKA OSHIYAMA,0.05,0.04879016416943201,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Lightning,90,Shiburingaru,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Water,70,OKACHEKE,0.13,0.12221763272424921,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,60,Nisota Niso,0.22,0.1988508587451652,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,60,Narumi Sato,0.23,0.20701416938432615,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 2,Lightning,130,Mizue,0.22,0.1988508587451652,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Lightning,90,Saya Tsuruta,0.18,0.16551443847757338,2023
Scarlet & Violet,Scarlet & Violet,Rare,Basic,Lightning,120,Kouki Saitou,0.19,0.173953307123438,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,50,Saya Tsuruta,0.18,0.16551443847757338,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Basic, ex",Lightning,220,5ban Graphics,0.64,0.49469624183610705,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,60,Shin Nagasawa,0.08,0.07696104113612832,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Psychic,110,Toshinao Aoki,0.13,0.12221763272424921,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Lightning,120,Kouki Saitou,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Stage 2, ex",Psychic,310,N-DESIGN Inc.,0.73,0.5481214085096876,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,70,zig,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,70,OKACHEKE,0.07,0.06765864847381481,2023
Scarlet & Violet,Scarlet & Violet,Rare,Basic,Psychic,70,GOSSAN,0.33,0.2851789422336624,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,70,Tika Matsuno,0.07,0.06765864847381481,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,50,Mizue,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Psychic,90,kawayoo,0.2,0.18232155679395462,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,60,Saya Tsuruta,0.27,0.23901690047049992,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,60,Jerky,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,40,Tika Matsuno,0.2,0.18232155679395462,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,70,Taira Akitsu,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Psychic,110,Yuu Nishida,0.2,0.18232155679395462,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,40,Mizue,0.13,0.12221763272424921,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Stage 2, ex",Lightning,330,hncl,0.59,0.46373401623214017,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Lightning,90,Kurata So,0.34,0.29266961396282,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,70,Yuu Nishida,0.18,0.16551443847757338,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Lightning,130,Atsushi Furusawa,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,60,kantaro,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 2,Psychic,140,Haru Akasaka,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,30,Hitoshi Ariga,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Lightning,70,Naoki Saito,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,80,Kouki Saitou,0.2,0.18232155679395462,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Lightning,50,Tika Matsuno,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Stage 1, ex",Psychic,250,PLANETA Mochizuki,0.69,0.5247285289349821,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Psychic,70,saino misaki,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,70,Nelnal,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Psychic,90,You Iribi,0.23,0.20701416938432615,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,40,Pani Kobayashi,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,80,Shin Nagasawa,0.15,0.13976194237515868,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Psychic,70,yuu,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Psychic,110,Hitoshi Ariga,0.04,0.039220713153281295,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 1,Psychic,140,Kouki Saitou,0.25,0.22314355131420976,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fighting,60,nagimiso,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Fighting,90,Ryuta Fuse,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 2,Fighting,140,Anesaki Dynamic,0.19,0.173953307123438,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Fighting,90,Jerky,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fighting,60,miki kudo,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fighting,70,chibi,0.16,0.14842000511827327,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fighting,70,Naoyo Kimura,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Fighting,130,Nurikabe,0.29,0.2546422183735807,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fighting,70,Tomokazu Komiya,0.22,0.1988508587451652,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 2,Fighting,170,Misa Tsutsui,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Rare,Basic,Fighting,70,GOSSAN,0.3,0.26236426446749106,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Fighting,100,kantaro,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Fighting,80,Kouki Saitou,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Fighting,140,Yuya Oka,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Fighting,130,Yuka Morii,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Basic, ex",Fighting,250,5ban Graphics,0.52,0.41871033485818504,2023
Scarlet & Violet,Scarlet & Violet,Rare,Basic,Fighting,130,nagimiso,0.13,0.12221763272424921,2023
Scarlet & Violet,Scarlet & Violet,Rare,Basic,Fighting,130,Kouki Saitou,0.15,0.13976194237515868,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Basic, ex",Fighting,230,aky CG Works,0.54,0.43178241642553783,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Darkness,80,Kouki Saitou,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Darkness,140,Haru Akasaka,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Darkness,120,sui,0.09,0.08617769624105233,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Darkness,70,sowsow,0.15,0.13976194237515868,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Darkness,70,Naoyo Kimura,0.07,0.06765864847381481,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Darkness,70,Shiburingaru,0.08,0.07696104113612832,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Stage 1, ex",Darkness,250,Nisota Niso,0.67,0.5128236264286637,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Darkness,120,Hideki Ishikawa,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 2,Darkness,170,Anesaki Dynamic,0.22,0.1988508587451652,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Darkness,70,kantaro,0.21,0.1906203596086497,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Darkness,80,KEIICHIRO ITO,0.19,0.173953307123438,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Metal,120,Lee HyunJung,0.23,0.20701416938432615,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Darkness,130,KIYOTAKA OSHIYAMA,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Darkness,110,nagimiso,0.06,0.058268908123975775,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Metal,60,Shin Nagasawa,0.05,0.04879016416943201,2023
Scarlet & Violet,Scarlet & Violet,Rare,Stage 1,Metal,140,Anesaki Dynamic,0.17,0.15700374880966475,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Metal,80,nagimiso,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Basic, ex",Metal,220,5ban Graphics,0.52,0.41871033485818504,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,110,sui,0.15,0.13976194237515868,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Colorless,150,chibi,0.18,0.16551443847757338,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,90,Yuya Oka,0.13,0.12221763272424921,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,60,Yuka Morii,0.24,0.2151113796169455,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Colorless,110,aoki,0.18,0.16551443847757338,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,60,HYOGONOSUKE,0.25,0.22314355131420976,2023
Scarlet & Violet,Scarlet & Violet,Common,Stage 1,Colorless,80,kantaro,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 2,Colorless,150,Atsushi Furusawa,0.2,0.18232155679395462,2023
Scarlet & Violet,Scarlet & Violet,Rare,Basic,Colorless,90,Kagemaru Himeno,0.18,0.16551443847757338,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Colorless,120,kantaro,0.12,0.11332868530700317,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,60,Teeziro,0.1,0.09531017980432487,2023
Scarlet & Violet,Scarlet & Violet,Double Rare,"Stage 1, ex",Colorless,260,aky CG Works,0.62,0.4824261492442927,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Colorless,120,kirisAki,0.11,0.10436001532424277,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,60,kodama,0.13,0.12221763272424921,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,70,Mina Nakai,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,30,Pani Kobayashi,0.41,0.3435897043900769,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,40,yuu,0.4,0.33647223662121295,2023
Scarlet & Violet,Scarlet & Violet,Common,Basic,Colorless,70,Oswaldo KATO,0.14,0.1310282624064041,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Stage 1,Colorless,70,KIYOTAKA OSHIYAMA,0.26,0.23111172096338664,2023
Scarlet & Violet,Scarlet & Violet,Rare,Basic,Colorless,110,Ryota Murayama,0.18,0.16551443847757338,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Colorless,110,AKIRA EGAWA,0.09,0.08617769624105233,2023
Scarlet & Violet,Scarlet & Violet,Uncommon,Basic,Colorless,110,kantaro,0.19,0.173953307123438,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Stage 1,Grass,90,Oswaldo KATO,7.32,2.1186622548331173,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Grass,40,Miki Tanaka,17.25,2.9041650800285006,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Grass,50,Akira Komayama,5.78,1.9139771019523042,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Stage 1,Fire,130,nagimiso,17.14,2.8981194446869907,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Stage 1,Grass,110,KIYOTAKA OSHIYAMA,5.55,1.8794650496471605,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Water,50,You Iribi,24.67,3.245322994883049,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Water,70,Toshinao Aoki,41.19,3.7421832261362473,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Water,70,Shinya Komatsu,8.18,2.217027204632399,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Stage 2,Lightning,130,Kouki Saitou,10.82,2.469793011977952,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Lightning,70,zig,20.94,3.0883114548470845,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Psychic,70,Tomokazu Komiya,61.73,4.138839802108651,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Water,160,AKIRA EGAWA,14.6,2.747270914255491,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Psychic,70,sowsow,21.98,3.1346242724206097,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Fighting,70,Nelnal,38.54,3.6773128177424708,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Psychic,70,Jiro Sasumo,46.53,3.861361090625918,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Stage 1,Psychic,90,Jiro Sasumo,47.01,3.8714093225428488,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Psychic,60,Tika Matsuno,28.0,3.367295829986474,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Fighting,130,Mina Nakai,5.65,1.8946168546677629,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Stage 1,Darkness,130,OKACHEKE,8.3,2.2300144001592104,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Fighting,70,Nurikabe,6.62,2.030776369698555,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Darkness,110,Shibuzoh.,5.84,1.922787731634459,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Stage 2,Darkness,170,Shin Nagasawa,10.4,2.4336133554004498,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Colorless,60,saino misaki,13.98,2.7067159780890733,2023
Scarlet & Violet,Scarlet & Violet,Illustration Rare,Basic,Colorless,60,Teeziro,9.17,2.3194422100604686,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Stage 1, Tera, ex",Fire,280,5ban Graphics,15.23,2.7868613815264998,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Stage 2, ex",Lightning,330,PLANETA Tsuji,1.81,1.0331844833456545,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Stage 1, Tera, ex",Water,300,5ban Graphics,10.54,2.4458192610799534,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Stage 1, ex",Grass,260,takuyoa,1.15,0.7654678421395714,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Stage 2, ex",Psychic,310,N-DESIGN Inc.,5.16,1.8180767775454285,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Basic, ex",Lightning,220,5ban Graphics,3.23,1.4422019930581866,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Stage 1, ex",Psychic,250,PLANETA Mochizuki,1.95,1.0818051703517284,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Basic, ex",Fighting,230,aky CG Works,2.09,1.128171090909654,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Basic, ex",Fighting,250,5ban Graphics,1.06,0.7227059828014898,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Basic, ex",Metal,220,5ban Graphics,1.14,0.76080582903376,2023
Scarlet & Violet,Scarlet & Violet,Ultra Rare,"Stage 1, ex",Darkness,250,PLANETA Hiiragi,1.8,1.0296194171811583,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Lightning,60,Tika Matsuno,0.14,0.1310282624064041,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Psychic,70,Yuu Nishida,0.27,0.23901690047049992,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 1,Psychic,110,Hitoshi Ariga,0.28,0.2468600779315258,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Psychic,70,Megumi Higuchi,0.14,0.1310282624064041,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Psychic,90,Aya Kusube,0.2,0.18232155679395462,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Basic, Tera, ex",Psychic,170,aky CG Works,1.14,0.76080582903376,2023
Paldea Evolved,Scarlet & Violet,Rare,Basic,Psychic,70,Kagemaru Himeno,0.36,0.3074846997479606,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Fighting,110,Shin Nagasawa,0.07,0.06765864847381481,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Basic,Fighting,110,Jerky,0.1,0.09531017980432487,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,70,Haru Akasaka,0.14,0.1310282624064041,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Fighting,90,Kurata So,0.22,0.1988508587451652,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Lightning,70,sui,0.15,0.13976194237515868,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Lightning,90,Scav,0.05,0.04879016416943201,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Stage 1, ex",Lightning,280,PLANETA Yamashita,0.81,0.5933268452777344,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Lightning,120,Pani Kobayashi,0.09,0.08617769624105233,2023
Paldea Evolved,Scarlet & Violet,Double Rare,"Stage 1, Tera, ex",Psychic,270,5ban Graphics,1.26,0.8153648132841945,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Psychic,70,0313,0.1,0.09531017980432487,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Basic,Psychic,120,Toshinao Aoki,0.05,0.04879016416943201,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Psychic,90,Shin Nagasawa,0.05,0.04879016416943201,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Psychic,60,Shibuzoh.,0.22,0.1988508587451652,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Psychic,70,Pani Kobayashi,0.26,0.23111172096338664,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 2,Psychic,140,Kouki Saitou,0.2,0.18232155679395462,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Basic,Fighting,130,Shin Nagasawa,0.21,0.1906203596086497,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Fighting,90,Shigenori Negishi,0.17,0.15700374880966475,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Lightning,40,kurumitsu,0.2,0.18232155679395462,2023
Paldea Evolved,Scarlet & Violet,Uncommon,Stage 1,Lightning,90,Narumi Sato,0.09,0.08617769624105233,2023
Paldea Evolved,Scarlet & Violet,Rare,Stage 2,Lightning,150,aoki,0.25,0.22314355131420976,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Lightning,80,Yuka Morii,0.28,0.2468600779315258,2023
Paldea Evolved,Scarlet & Violet,Common,Basic,Lightning,60,Shibuzoh.,0.18,0.16551443847757338,2023
